rank,item_id,title,avg_rating
1,1189,Prefontaine (1997),5.0
2,1293,Star Kid (1997),5.0
3,1467,"Saint of Fort Washington, The (1993)",5.0
4,1500,Santa with Muscles (1996),5.0
5,814,"Great Day in Harlem, A (1994)",5.0
6,1122,They Made Me a Criminal (1939),5.0
7,1201,Marlene Dietrich: Shadow and Light (1996) ,5.0
8,1536,Aiqing wansui (1994),5.0
9,1599,Someone Else's America (1995),5.0
10,1653,Entertaining Angels: The Dorothy Day Story (1996),5.0
11,1449,Pather Panchali (1955),4.625
12,119,Maya Lin: A Strong Clear Vision (1994),4.5
13,1398,Anna (1996),4.5
14,1594,Everest (1998),4.5
15,1642,Some Mother's Son (1996),4.5
16,408,"Close Shave, A (1995)",4.491071428571429
17,318,Schindler's List (1993),4.466442953020135
18,169,"Wrong Trousers, The (1993)",4.466101694915254
19,483,Casablanca (1942),4.45679012345679
20,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194029851
21,64,"Shawshank Redemption, The (1994)",4.445229681978798
22,603,Rear Window (1954),4.3875598086124405
23,12,"Usual Suspects, The (1995)",4.385767790262173
24,50,Star Wars (1977),4.3584905660377355
25,178,12 Angry Men (1957),4.344
26,513,"Third Man, The (1949)",4.333333333333333
27,1191,"Letter From Death Row, A (1998)",4.333333333333333
28,1639,Bitter Sugar (Azucar Amargo) (1996),4.333333333333333
29,134,Citizen Kane (1941),4.292929292929293
30,963,Some Folks Call It a Sling Blade (1993),4.2926829268292686
31,427,To Kill a Mockingbird (1962),4.292237442922374
32,357,One Flew Over the Cuckoo's Nest (1975),4.291666666666667
33,98,"Silence of the Lambs, The (1991)",4.28974358974359
34,480,North by Northwest (1959),4.284916201117318
35,127,"Godfather, The (1972)",4.283292978208232
36,285,Secrets & Lies (1996),4.265432098765432
37,272,Good Will Hunting (1997),4.262626262626263
38,251,Shall We Dance? (1996),4.260869565217392
39,657,"Manchurian Candidate, The (1962)",4.259541984732825
40,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629
41,174,Raiders of the Lost Ark (1981),4.252380952380952
42,479,Vertigo (1958),4.251396648044692
43,1524,Kaspar Hauser (1993),4.25
44,1064,Crossfire (1947),4.25
45,1125,"Innocents, The (1961)",4.25
46,313,Titanic (1997),4.2457142857142856
47,511,Lawrence of Arabia (1962),4.23121387283237
48,641,Paths of Glory (1957),4.212121212121212
49,484,"Maltese Falcon, The (1941)",4.2101449275362315
50,172,"Empire Strikes Back, The (1980)",4.204359673024523
51,515,"Boot, Das (1981)",4.203980099502488
52,488,Sunset Blvd. (1950),4.2
53,1367,Faust (1994),4.2
54,1396,Stonewall (1995),4.2
55,223,Sling Blade (1996),4.198529411764706
56,316,As Good As It Gets (1997),4.196428571428571
57,966,"Affair to Remember, An (1957)",4.1923076923076925
58,187,"Godfather: Part II, The (1974)",4.186602870813397
59,498,"African Queen, The (1951)",4.184210526315789
60,199,"Bridge on the River Kwai, The (1957)",4.175757575757576
61,170,Cinema Paradiso (1988),4.1735537190082646
62,173,"Princess Bride, The (1987)",4.172839506172839
63,191,Amadeus (1984),4.163043478260869
64,302,L.A. Confidential (1997),4.161616161616162
65,100,Fargo (1996),4.155511811023622
66,923,Raise the Red Lantern (1991),4.155172413793103
67,22,Braveheart (1995),4.151515151515151
68,493,"Thin Man, The (1934)",4.15
69,89,Blade Runner (1982),4.138181818181818
70,190,Henry V (1989),4.137096774193548
71,654,Chinatown (1974),4.136054421768708
72,528,"Killing Fields, The (1984)",4.132231404958677
73,1007,Waiting for Guffman (1996),4.127659574468085
74,1251,A Chef in Love (1996),4.125
75,136,Mr. Smith Goes to Washington (1939),4.123809523809523
76,496,It's a Wonderful Life (1946),4.121212121212121
77,23,Taxi Driver (1976),4.1208791208791204
78,192,Raging Bull (1980),4.120689655172414
79,166,Manon of the Spring (Manon des sources) (1986),4.120689655172414
80,478,"Philadelphia Story, The (1940)",4.115384615384615
81,489,Notorious (1946),4.115384615384615
82,113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",4.111111111111111
83,165,Jean de Florette (1986),4.109375
84,189,"Grand Day Out, A (1992)",4.106060606060606
85,520,"Great Escape, The (1963)",4.104838709677419
86,197,"Graduate, The (1967)",4.104602510460251
87,487,Roman Holiday (1953),4.102941176470588
88,661,High Noon (1952),4.1022727272727275
89,185,Psycho (1960),4.100418410041841
90,315,Apt Pupil (1998),4.1
91,519,"Treasure of the Sierra Madre, The (1948)",4.1
92,647,Ran (1985),4.1
93,611,Laura (1944),4.1
94,1169,Fresh (1994),4.1
95,48,Hoop Dreams (1994),4.094017094017094
96,659,Arsenic and Old Lace (1944),4.078260869565217
97,132,"Wizard of Oz, The (1939)",4.0772357723577235
98,651,Glory (1989),4.076023391812866
99,168,Monty Python and the Holy Grail (1974),4.0664556962025316
100,1194,Once Were Warriors (1994),4.064516129032258
